Term;Stemmed;Variations;Frequency
reporting;reporting;reporting;0
key-value pair;key-value pair;key-value pairs, key-value pair;0
distributivity;distributivity;distributivity;0
identity;identity;identities, identity;26
polymorphism;polymorphism;polymorphism;21
mzero;mzero;mzero;0
numeric library;numeric library;numeric library;0
lookup function;lookup function;lookup function;3
module function;module function;module functions, module function;0
command;command;command;56
filesystem;filesystem;filesystems, filesystem;0
primitive recursive function;primitive recursive function;primitive recursive functions, primitive recursive function;3
haskell.org;haskell.org;haskell.org;4
TCP;tcp;TCP;0
.hsc files 2nd;.hsc files 2nd;.hsc files 2nd;0
runST function;runst function;runST function;0
runghc program;runghc program;runghc program;0
ADT;adt;ADT;34
System.Directory module 2nd 3rd;System.Directory module 2nd 3rd;System.Directory module 2nd 3rd;0
string function;string function;string function;0
monads 2nd;monad 2nd;monads 2nd;0
data structure;data structure;data structures, data structure;16
deadlocks 2nd;deadlock 2nd;deadlocks 2nd;0
boolean expression;boolean expression;boolean expressions, boolean expression;5
sequencing;sequencing;sequencing;12
fromintegral function 2nd;fromintegral function 2nd;fromintegral function 2nd;0
callback function;callback function;callback functions, callback function;0
elem function;elem function;elem function;0
Control.Monad module 2nd;Control.Monad module 2nd;Control.Monad module 2nd;0
qualified import;qualified import;qualified imports, qualified import;1
widgets (GUI programming);widget ( gui programming );widgets (GUI programming);0
export;export;exports, export;21
shape of functors;shape of functors;shape of functors;0
monomorphic property;monomorphic property;monomorphic properties, monomorphic property;0
web client programming;web client programming;web client programming;0
testing [see quality assurance];testing [ see quality assurance ];testing [see quality assurance];0
multiplication (*) option;multiplication (*) option;multiplication (*) option;0
enum;enum;enum;6
infix version of a function;infix version of a function;infix version of a function;1
monadplus;monadplus;monadplus;0
CAFs (constant applicative forms);cafs ( constant applicative form );CAFs (constant applicative forms);0
non-threaded runtime;non-threaded runtime;non-threaded runtime;0
socket;socket;sockets, socket;1
pipes (redirection);pipe ( redirection );pipes (redirection);0
glade;glade;glade;0
maxthree;maxthree;maxthree;21
constructor;constructor;constructors, constructor;106
context of failure;context of failure;context of failure;0
software;software;software;11
guard;guard;guards, guard;54
boolean algebra;boolean algebra;boolean algebra;0
Data.ByteString.Lazy.Char8 module;Data.ByteString.Lazy.Char8 module;Data.ByteString.Lazy.Char8 module;0
negate;negate;negate;6
networking;networking;networking;0
reduction;reduction;reduction;0
function;function;functions, function;1995
strict evaluation 2nd;strict evaluation 2nd;strict evaluation 2nd;0
MonadIO typeclass;monadio typeclass;MonadIO typeclass;0
divide and conquer;divide and conquer;divide and conquer;10
random number;random number;random numbers, random number;15
overlapping;overlapping;overlapping;0
RPN (Reverse Polish Notation);rpn ( reverse polish notation );RPN (Reverse Polish Notation);0
embedded domain specific language;embedded domain specific language;embedded domain specific languages, embedded domain specific language;0
editing;editing;editing;8
Graphics.UI.Gtk.Graphics.UI.Gtk.Glade module;Graphics.UI.Gtk.Graphics.UI.Gtk.Glade module;Graphics.UI.Gtk.Graphics.UI.Gtk.Glade module;0
record;record;records, record;13
Database.HDBC module;Database.HDBC module;Database.HDBC module;0
limit;limit;limit;13
stderr function;stderr function;stderr function;0
standard prelude;standard prelude;standard prelude;23
c programming language 2nd 3rd;c programming language 2nd 3rd;c programming language 2nd 3rd;0
boilerplate 2nd;boilerplate 2nd;boilerplate 2nd;0
redirection (pipes);redirection ( pipe );redirection (pipes);0
types 2nd 3rd;type 2nd 3rd;types 2nd 3rd;0
Graphics.UI.Gtk module;Graphics.UI.Gtk module;Graphics.UI.Gtk module;0
int;int;int;135
row datum;row datum;row data, row datum;0
newtype keyword;newtype keyword;newtype keyword;0
subtraction (-) option;subtraction (-) option;subtraction (-) option;0
binary I/O;binary I/O;binary I/O;0
unboxed value in arrays;unboxed value in array;unboxed values in arrays, unboxed value in arrays;0
hsc2h;hsc2h;hsc2hs, hsc2h;0
association list;association list;association list;0
bool;bool;bool;92
foreign module;foreign module;foreign modules, foreign module;0
HPC;hpc;HPC;0
genericity;genericity;genericity;1
lock order inversion;lock order inversion;lock order inversion;0
repeat;repeat;repeat;12
class;class;classes, class;249
quickquery' function 2nd;quickquery ' function 2nd;quickquery' function 2nd;0
scaled value;scaled value;scaled values, scaled value;0
mconcat;mconcat;mconcat;0
disjunction;disjunction;disjunction;2
command-line;command-line;command-line;1
codemessage;codemessage;codemessage;0
Data.List.lookup function;Data.List.lookup function;Data.List.lookup function;0
POSIX regular expression;posix regular expression;POSIX regular expressions, POSIX regular expression;0
Standard ML;standard ml;Standard ML;1
imperative programming;imperative programming;imperative programming;4
